StateCo,StateAb,DivName,DivId,DivCo,PPName,Status,PremisesName,Address1,Address2,Address3,Locality,AddrStateAb,Postcode,PPId,AdvPremisesName,AdvAddress,AdvLocality,AdvBoothLocation,AdvGateAccess,EntrancesDesc,Lat,Lon,CCD,WheelchairAccess,OrdVoteEst,DecVoteEst,NoOrdIssuingOff,NoOfDecIssuingOff
3,VIC,McMillan,227,28,Nar Nar Goon North,Current,Nar Nar Goon North Public Hall,Dore Rd,,,NAR NAR GOON NORTH,VIC,3812,4902,Public Hall,Dore Rd,NAR NAR GOON NORTH,,,Entrance to the polling place is on the corner of Dore Rd and Bessie Creek Rd. T he car park is accessed from Dore Rd.,-38.0195,145.555,2341406,Assisted,280,14,0,1
3,VIC,McMillan,227,28,Narracan,Current,Narracan Public Hall,Narracan Connection Rd,,,NARRACAN,VIC,3824,3800,Public Hall,Narracan Connection Rd,NARRACAN,,,Entrance is from Narracan Connection Rd.,-38.2576,146.227,2180502,Assisted,169,6,0,1
3,VIC,McMillan,227,28,Neerim Junction,Abolition,,,,,,,,0,,,,,,,,,0,,0,0,0,0
3,VIC,McMillan,227,28,Neerim South,Current,Neerim South Primary School,180 Main Neerim Rd,,,NEERIM SOUTH,VIC,3831,4415,Primary School,180 Main Neerim Rd,NEERIM SOUTH,Orana Community Centre,,Gateway entrance to the polling place is in Main Neerim Rd.,-38.0158,145.955,2180606,Assisted,796,42,2,1
3,VIC,McMillan,227,28,Nerrena,Current,Nerrena Public Hall,Nerrena Hall Rd,,,NERRENA,VIC,3953,3801,Public Hall,Nerrena Hall Rd,NERRENA,,,Entrance to the polling place is in Nerr ena Hall Rd.,-38.5085,145.995,2200406,Assisted,267,8,0,1
3,VIC,McMillan,227,28,Newborough,Current,Newborough Public Hall,Balfour St,,,NEWBOROUGH,VIC,3825,4416,Public Hall,Balfour St,NEWBOROUGH,,,Entrance to the hall is from Balfour St.,-38.187,146.292,2181603,Assisted,1801,108,4,1
3,VIC,McMillan,227,28,Newborough East,Current,Lowanna College (Newark Campus),72-96 Newark Ave,,,NEWBOROUGH,VIC,3825,4417,Lowanna College (Newark Campus),72-96 Newark Ave,NEWBOROUGH,,,Gateway entrance to the polling place is in Newark Ave.,-38.1761,146.286,2181708,Assisted,1489,87,3,1
3,VIC,McMillan,227,28,Nilma,Current,Nilma Primary School,76 Bloomfield Rd,,,NILMA,VIC,3821,4418,Primary School,76 Bloomfield Rd,NILMA,,,Entrance to the polling place is from Bl oomfield Rd.,-38.1651,145.976,2180802,Assisted,242,11,0,1
3,VIC,McMillan,227,28,Noojee,Current,Noojee Public Hall,Henty St,,,NOOJEE,VIC,3833,4419,Public Hall,Henty St,NOOJEE,,,Entrance to the polling place is in Hent y St.,-37.8927,145.998,2180603,Assisted,128,26,0,1
3,VIC,McMillan,227,28,Nyora,Current,Nyora Primary School,Grundy Ave,,,NYORA,VIC,3987,3648,Primary School,Grundy Ave,NYORA,,,Gateway entrance to the polling place is in Grundy Ave.,-38.3366,145.675,2200902,Assisted,695,64,2,1
